experiment_name,llm_model,embedding_model,retriever_k,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,question_normalized,section,section_order,question_order,faq_id,latency_s,experiment_short,experiment_label,experiment_descriptor
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,"How do I log in to UCD IT Systems including SISWeb, Brightspace or UCD Email?",0.599,0.54,0.53,0.397,0.499,1861,"how do i log in to ucd it systems including sisweb, brightspace or ucd email?",UCD Connect,1,1,06015524abfb12e15ae01220483b6705b73c6679,1.861,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is SISWeb? What is Brightspace?,0.535,0.526,0.565,0.388,0.544,1933,what is sisweb? what is brightspace?,UCD Connect,1,2,d5d545c772a11ec1f5295a7d95a76f7935782acf,1.933,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I reset my password?,0.624,0.453,0.526,0.407,0.461,1586,how do i reset my password?,UCD Connect,1,3,cd64d1632af8dfa4b824b30699085f22c8ddfcc8,1.586,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I contact IT Support Hub?,0.566,0.542,0.472,0.428,0.578,1784,how do i contact it support hub?,UCD Connect,1,4,8cb347ec9dac24845315f4ebbf10b1c477a1e540,1.784,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Will I lose access to SISWeb when I graduate or if I leave UCD?,0.682,0.362,0.53,0.412,0.626,2115,will i lose access to sisweb when i graduate or if i leave ucd?,UCD Connect,1,5,bea52bd424329a64f9c5eeca6f600314c2639896,2.115,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Will I lose access to my UCD email address if I graduate or if I leave UCD?,0.615,0.641,0.557,0.419,0.454,1944,will i lose access to my ucd email address if i graduate or if i leave ucd?,UCD Connect,1,6,944e21b601eb29945bc1f59a73acf6cc9548c149,1.944,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What do I need to know about my SUSI Grant?,0.681,0.425,0.666,0.421,0.543,1944,what do i need to know about my susi grant?,Fees,2,1,5b0c1b81cecee20be10148f2213b9bde5a4fdbad,1.944,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Who is eligible for Free Fees?,0.538,0.597,0.474,0.521,0.429,1842,who is eligible for free fees?,Fees,2,2,ba1996e5abebaf7a206ca4b17cdd699bb10f8326,1.842,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Do I need to submit a new application for Free Fee Assessment each year?,0.641,0.584,0.395,0.475,0.513,2049,do i need to submit a new application for free fee assessment each year?,Fees,2,3,5317570a72fa65e8bc0775e9c3715f69867da3e5,2.049,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Who is eligible for EU Fees?,0.662,0.423,0.674,0.546,0.455,1666,who is eligible for eu fees?,Fees,2,4,6117a462da250859abe1a541d48e2d29e6cf8835,1.666,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
